INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET
I162036943,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,South End,628,N,2016-05-08 12:00:00,2016,5,Sunday,12,Part Two,BROOKLINE AVE
I162087537,3503,Missing Person Located,MISSING PERSON - NOT REPORTED - LOCATED,Dorchester, ,N,2016-10-25 15:56:00,2016,10,Tuesday,15,Part Three,Not Specified
I172038031,3301,Verbal Disputes,VERBAL DISPUTE,Dorchester,393,N,2017-05-15 02:11:00,2017,5,Monday,2,Part Three,MONSIGNOR PATRICK J. LYDO
I182038933,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,Jamaica Plain,638,N,2018-05-22 08:49:00,2018,5,Tuesday,8,Part Three,Not Specified
I162000700,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Dorchester,333,N,2016-01-03 10:35:00,2016,1,Sunday,10,Part Three,MOUNT EVERETT ST
I182004896,3207,Property Found,PROPERTY - FOUND,Brighton,814,N,2018-01-19 09:34:00,2018,1,Friday,9,Part Three,HOOKER ST
I152061976,3114,Investigate Property,INVESTIGATE PROPERTY,Dorchester,341,N,2015-07-01 08:00:00,2015,7,Wednesday,8,Part Three,STONEHURST ST
I172106273,3029,Prisoner Related Incidents,PRISONER - SUICIDE / SUICIDE ATTEMPT,Downtown,167,N,2017-12-25 18:17:00,2017,12,Monday,18,Part Three,HARRISON AVE
I172073817,2629,Harassment,HARASSMENT,Mattapan,74,N,2017-09-06 12:48:00,2017,9,Wednesday,12,Part Two,NEW CHARDON ST
I182061664,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Downtown,94,N,2018-08-04 02:00:00,2018,8,Saturday,2,Part Three,STATE ST
I162073287,2905,Violations,VAL - OPERATING WITHOUT LICENSE,Roxbury, ,N,2016-09-08 19:11:00,2016,9,Thursday,19,Part Two,Not Specified
I182041482,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,Jamaica Plain,608,N,2018-05-30 09:38:00,2018,5,Wednesday,9,Part Three,S HUNTINGTON AVE
I172088783,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Roxbury,321,N,2017-10-24 10:04:00,2017,10,Tuesday,10,Part Three,WARREN ST
I152059729,3108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",Mattapan,441,N,2015-07-19 18:18:00,2015,7,Sunday,18,Part Three,NIGHTINGALE ST
I162090267,619,Larceny,LARCENY ALL OTHERS,Brighton,804,N,2016-11-03 15:50:00,2016,11,Thursday,15,Part One,EVERETT ST
I172018674,2647,Other,THREATS TO DO BODILY HARM,Downtown,69,N,2017-03-02 15:00:00,2017,3,Thursday,15,Part Two,BRIMMER ST
I152095325,1510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,Jamaica Plain,572,N,2015-11-16 22:53:00,2015,11,Monday,22,Part Two,DIXWELL ST
I172082622,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South End,903,N,2017-10-04 09:01:00,2017,10,Wednesday,9,Part Three,HAMMOND ST
I182059696,802,Simple Assault,ASSAULT SIMPLE - BATTERY,South Boston,915,N,2018-07-28 20:32:00,2018,7,Saturday,20,Part Two,MERCER ST
I172000544,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,Brighton,803,N,2017-01-02 11:00:00,2017,1,Monday,11,Part One,BRAINTREE ST
I152064574,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,Jamaica Plain,316,N,2015-08-05 06:39:00,2015,8,Wednesday,6,Part Three,WALNUT AVE
I162047077,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Dorchester,396,Y,2016-06-14 16:57:00,2016,6,Tuesday,16,Part One,DORCHESTER AVE
I152063597,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,314,Y,2015-08-01 18:05:00,2015,8,Saturday,18,Part One,HAROLD ST
I172090526,1501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",South Boston,913,Y,2017-10-29 19:45:00,2017,10,Sunday,19,Part Two,PENINSULA PL
I152098594,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,South End,612,Y,2015-11-28 21:40:00,2015,11,Saturday,21,Part One,Not Specified
I162046840,3125,Warrant Arrests,WARRANT ARREST,Downtown,117,N,2016-06-13 20:50:00,2016,6,Monday,20,Part Three,LAGRANGE ST
I172007810,3114,Investigate Property,INVESTIGATE PROPERTY,Downtown, ,N,2017-01-29 03:27:00,2017,1,Sunday,3,Part Three,Not Specified
I172017058,2610,Other,TRESPASSING,Mattapan,441,N,2017-03-03 08:41:00,2017,3,Friday,8,Part Two,NIGHTINGALE ST
I162034666,613,Larceny,LARCENY SHOPLIFTING,South End,138,N,2016-05-04 15:36:00,2016,5,Wednesday,15,Part One,NEWBURY ST
I162092097,3305,Assembly or Gathering Violations,DEMONSTRATIONS/RIOT,Mattapan,74,N,2016-11-10 08:49:00,2016,11,Thursday,8,Part Three,NEW CHARDON ST
I172036552,3115,Investigate Person,INVESTIGATE PERSON,Downtown,65,N,2017-05-09 17:30:00,2017,5,Tuesday,17,Part Three,BLOSSOM ST
I172073791,3114,Investigate Property,INVESTIGATE PROPERTY,West Roxbury,555,N,2017-09-06 09:49:00,2017,9,Wednesday,9,Part Three,POPLAR ST
I162017621,3410,Towed,TOWED MOTOR VEHICLE,South Boston,214,N,2016-03-06 09:08:00,2016,3,Sunday,9,Part Three,W FOURTH ST
I152066466,1831,Drug Violation,DRUGS - SICK ASSIST - OTHER NARCOTIC,Roxbury,901,N,2015-08-11 17:51:00,2015,8,Tuesday,17,Part Two,PARKER ST
I162047465,2647,Other,THREATS TO DO BODILY HARM,Dorchester,361,N,2016-06-14 18:30:00,2016,6,Tuesday,18,Part Two,MATHER ST
I162060415,615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,Downtown, ,N,2016-07-27 21:30:00,2016,7,Wednesday,21,Part One,Not Specified
I182014460,3125,Warrant Arrests,WARRANT ARREST,Roxbury,179,N,2018-02-24 02:50:00,2018,2,Saturday,2,Part Three,GERARD ST
I182019426,802,Simple Assault,ASSAULT SIMPLE - BATTERY,Dorchester,236,N,2018-03-15 00:31:00,2018,3,Thursday,0,Part Two,COLUMBIA RD
I142033219-00,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",South End,171,N,2016-01-04 17:20:00,2016,1,Monday,17,Part Two,HARRISON AVE
I152063261,617,Larceny,LARCENY THEFT FROM BUILDING,West Roxbury,822,N,2015-07-23 16:30:00,2015,7,Thursday,16,Part One,WASHINGTON ST
I172037641,3130,Search Warrants,SEARCH WARRANT,Dorchester,257,Y,2017-05-13 13:40:00,2017,5,Saturday,13,Part Three,SCHROEDER PLZ
I162029985,617,Larceny,LARCENY THEFT FROM BUILDING,Roxbury,317,N,2016-04-17 21:00:00,2016,4,Sunday,21,Part One,RUTHVEN ST
I182050499,3130,Search Warrants,SEARCH WARRANT,Dorchester,340,Y,2018-06-27 18:53:00,2018,6,Wednesday,18,Part Three,DRAPER ST
I182025963,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South End,143,N,2018-04-07 12:39:00,2018,4,Saturday,12,Part Three,DALTON ST
I172028584,3119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,Dorchester,332,Y,2017-04-12 19:59:00,2017,4,Wednesday,19,Part Three,COLUMBIA RD
I172010750,1402,Vandalism,VANDALISM,South End,624,N,2017-02-08 17:50:00,2017,2,Wednesday,17,Part Two,BOYLSTON ST
I182019357,1504,Other,WEAPON - OTHER - OTHER VIOLATION,Mattapan,442,N,2018-03-14 18:49:00,2018,3,Wednesday,18,Part Two,BERNARD ST
I172035145,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,Downtown,116,N,2017-04-30 17:15:00,2017,4,Sunday,17,Part Three,HARRISON AVE
I172009203,617,Larceny,LARCENY THEFT FROM BUILDING,East Boston,30,N,2017-02-03 09:00:00,2017,2,Friday,9,Part One,COTTAGE ST
I182010027,3201,Property Lost,PROPERTY - LOST,Roxbury,566,N,2018-02-07 11:58:00,2018,2,Wednesday,11,Part Three,MORTON ST
I172011443,617,Larceny,LARCENY THEFT FROM BUILDING,Mattapan,458,N,2017-02-11 06:30:00,2017,2,Saturday,6,Part One,GENEVA AVE
I172028388,3115,Investigate Person,INVESTIGATE PERSON,Roxbury,295,N,2017-03-24 00:30:00,2017,3,Friday,0,Part Three,DABNEY ST
I162043842,1510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,Mattapan,463,Y,2016-06-03 23:30:00,2016,6,Friday,23,Part Two,FRANKLIN HILL AVE
I172065382,301,Robbery,ROBBERY - STREET,Downtown,167,N,2017-08-09 23:35:00,2017,8,Wednesday,23,Part One,HARRISON AVE
I182068525,3207,Property Found,PROPERTY - FOUND,Hyde Park,497,N,2018-08-26 19:59:00,2018,8,Sunday,19,Part Three,BRADLEE ST
I172054477,423,Aggravated Assault,ASSAULT - AGGRAVATED,Dorchester,332,Y,2017-07-06 10:38:00,2017,7,Thursday,10,Part One,COLUMBIA RD
I152091764,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,Hyde Park,523,N,2015-11-05 05:42:00,2015,11,Thursday,5,Part Three,HYDE PARK AVE
I182011543,3410,Towed,TOWED MOTOR VEHICLE,South Boston,207,N,2018-02-13 10:00:00,2018,2,Tuesday,10,Part Three,COURTHOUSE WAY
I152069126,1503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",Mattapan,908,N,2015-08-20 20:29:00,2015,8,Thursday,20,Part Two,FRANKLIN HILL AVE
I172077922,3115,Investigate Person,INVESTIGATE PERSON,West Roxbury,551,N,2017-09-19 09:15:00,2017,9,Tuesday,9,Part Three,KITTREDGE ST
I182052166,3201,Property Lost,PROPERTY - LOST,Roxbury,265,N,2018-07-02 18:00:00,2018,7,Monday,18,Part Three,PERRIN ST
I152078369,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Hyde Park,522,N,2015-09-20 17:08:00,2015,9,Sunday,17,Part Three,HYDE PARK AVE
I162043123,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",Downtown,112,N,2016-06-01 17:40:00,2016,6,Wednesday,17,Part Two,ESSEX ST
I172018950,3115,Investigate Person,INVESTIGATE PERSON,Roxbury,603,N,2017-03-10 04:04:00,2017,3,Friday,4,Part Three,TREMONT ST
I152051945,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Dorchester,358,N,2015-06-23 12:42:00,2015,6,Tuesday,12,Part Three,WALDECK ST
I172078315,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,South End,146,N,2017-09-20 15:53:00,2017,9,Wednesday,15,Part Three,SAINT BOTOLPH ST
I172105029,3115,Investigate Person,INVESTIGATE PERSON,South End,619,N,2017-12-20 12:24:00,2017,12,Wednesday,12,Part Three,WESTLAND AVE
I162007644,802,Simple Assault,ASSAULT SIMPLE - BATTERY,South Boston,200,N,2016-01-29 01:27:00,2016,1,Friday,1,Part Two,W BROADWAY
I172018071,3807,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER CITY VEHICLE,Jamaica Plain,646,N,2017-03-07 09:17:00,2017,3,Tuesday,9,Part Three,CAROLINA AVE
I182029196,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,Mattapan,428,N,2018-04-18 10:30:00,2018,4,Wednesday,10,Part Three,MORTON ST
I162074394,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,East Boston,15,N,2016-09-12 13:33:00,2016,9,Monday,13,Part Three,MOORE ST
I162083960,2900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,Mattapan,439,N,2016-10-13 16:36:00,2016,10,Thursday,16,Part Two,FLOYD ST
I172098716,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",South Boston, ,Y,2017-11-27 23:19:00,2017,11,Monday,23,Part One,Not Specified
I162063305,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,East Boston,20,N,2016-08-07 09:13:00,2016,8,Sunday,9,Part Three,BREMEN ST
I162070235,1402,Vandalism,VANDALISM,East Boston,12,N,2016-08-29 05:40:00,2016,8,Monday,5,Part Two,BENNINGTON ST
I172060775,3002,Medical Assistance,ANIMAL CONTROL - DOG BITES - ETC.,Brighton,792,N,2017-07-26 18:40:00,2017,7,Wednesday,18,Part Three,KELTON ST
I162102192,1402,Vandalism,VANDALISM,Roxbury,181,N,2016-12-15 15:12:00,2016,12,Thursday,15,Part Two,SHIRLEY ST
I182008256,2647,Other,THREATS TO DO BODILY HARM,Roxbury,330,N,2018-01-31 16:30:00,2018,1,Wednesday,16,Part Two,CASTLEGATE RD
I172096396,3820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,Charlestown,41,N,2017-11-18 19:55:00,2017,11,Saturday,19,Part Three,CHELSEA ST
I172023114,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,469,Y,2017-03-24 21:37:00,2017,3,Friday,21,Part One,HIAWATHA RD
I172022415,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Jamaica Plain,572,N,2017-03-22 13:24:00,2017,3,Wednesday,13,Part Three,COLUMBUS AVE
I162103099,617,Larceny,LARCENY THEFT FROM BUILDING,South End,165,N,2016-12-14 17:00:00,2016,12,Wednesday,17,Part One,HARRISON AVE
I182016655,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Dorchester,356,N,2018-03-04 11:00:00,2018,3,Sunday,11,Part One,DORCHESTER AVE
I172045416,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,Mattapan,427,N,2017-04-14 13:00:00,2017,4,Friday,13,Part Two,NORFOLK ST
I172014754,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,465,Y,2017-02-23 13:29:00,2017,2,Thursday,13,Part One,HAVELOCK ST
I182001994,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,Downtown, ,N,2018-01-06 01:00:00,2018,1,Saturday,1,Part Three,Not Specified
I182031199,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,Downtown,100,N,2018-04-26 11:18:00,2018,4,Thursday,11,Part Two,BROAD ST
I182064780,1402,Vandalism,VANDALISM,South Boston,220,N,2018-07-29 08:00:00,2018,7,Sunday,8,Part Two,TELEGRAPH ST
I182008162,423,Aggravated Assault,ASSAULT - AGGRAVATED,South End,142,N,2018-01-31 11:47:00,2018,1,Wednesday,11,Part One,NEWBURY ST
I182001950,1402,Vandalism,VANDALISM,East Boston,30,N,2018-01-07 19:00:00,2018,1,Sunday,19,Part Two,COTTAGE ST
I172028837,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",Dorchester,382,Y,2017-04-13 16:12:00,2017,4,Thursday,16,Part One,GALLIVAN BLVD
I162000307,1845,Drug Violation,DRUGS - POSS CLASS D,South End,273,N,2016-01-01 20:34:00,2016,1,Friday,20,Part Two,WASHINGTON ST
I172100474,2405,Disorderly Conduct,DISORDERLY CONDUCT,Downtown, ,N,2017-12-03 19:15:00,2017,12,Sunday,19,Part Two,WINTER PL
I162001339,3115,Investigate Person,INVESTIGATE PERSON,Roxbury,324,N,2016-01-05 19:50:00,2016,1,Tuesday,19,Part Three,BLUE HILL AVE
I172052483,3115,Investigate Person,INVESTIGATE PERSON,Mattapan,565,N,2017-06-29 20:52:00,2017,6,Thursday,20,Part Three,OSPREY WAY
I172028270,3106,Property Related Damage,PROPERTY - ACCIDENTAL DAMAGE,South Boston,915,Y,2017-04-11 19:42:00,2017,4,Tuesday,19,Part Three,E NINTH ST
I182010030,1849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",Dorchester,341,N,2018-02-07 11:36:00,2018,2,Wednesday,11,Part Two,BOWDOIN ST
I162057448,3125,Warrant Arrests,WARRANT ARREST,Downtown,105,N,2016-07-17 10:03:00,2016,7,Sunday,10,Part Three,SUMMER ST
I152060211,3116,Harbor Related Incidents,HARBOR INCIDENT / VIOLATION,East Boston,34,N,2015-07-21 10:19:00,2015,7,Tuesday,10,Part Three,MARGINAL ST
I152098884,1402,Vandalism,VANDALISM,Downtown,102,N,2015-11-30 09:21:00,2015,11,Monday,9,Part Two,TREMONT ST
I152078265,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Dorchester,373,N,2015-09-20 10:49:00,2015,9,Sunday,10,Part Three,WILLIAM T MORRISSEY BLVD
I162016357,2005,Offenses Against Child / Family,CHILD ENDANGERMENT,Hyde Park,493,N,2016-03-01 11:53:35,2016,3,Tuesday,11,Part Two,RIVER ST
I182044964,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Mattapan, ,N,2018-06-10 12:00:00,2018,6,Sunday,12,Part Three,CENTRAL AVE
I172038326,3125,Warrant Arrests,WARRANT ARREST,Downtown, ,N,2017-05-16 01:32:00,2017,5,Tuesday,1,Part Three,BOYLSTON ST
I172001265,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,Brighton,796,N,2016-12-11 19:00:00,2016,12,Sunday,19,Part One,COMMONWEALTH AVE
I152093200,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,East Boston,7,N,2015-11-09 18:10:00,2015,11,Monday,18,Part Three,GLADSTONE ST
I172082274,3207,Property Found,PROPERTY - FOUND,Jamaica Plain, ,N,2017-10-02 16:00:00,2017,10,Monday,16,Part Three,FOREST HILLS ST
I172099047,613,Larceny,LARCENY SHOPLIFTING,Roxbury,603,N,2017-11-29 08:00:00,2017,11,Wednesday,8,Part One,TREMONT ST
I162092117,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Downtown,70,N,2016-11-10 13:32:00,2016,11,Thursday,13,Part Three,MOUNT VERNON ST
I152077754,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,East Boston,28,N,2015-09-18 18:55:00,2015,9,Friday,18,Part Three,PARIS ST
I182039900,2629,Harassment,HARASSMENT,Brighton,796,N,2018-05-23 12:00:00,2018,5,Wednesday,12,Part Two,HARVARD AVE
I182034199,724,Auto Theft,AUTO THEFT,East Boston,20,N,2018-05-06 09:51:00,2018,5,Sunday,9,Part One,BROOKS ST
I172094279,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,South End,270,N,2017-11-11 04:30:00,2017,11,Saturday,4,Part Three,NORTHAMPTON ST
I172088567,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Roxbury,326,N,2017-10-23 14:48:00,2017,10,Monday,14,Part Three,CRESTON ST
I162074089,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,Brighton,812,N,2016-09-11 11:20:00,2016,9,Sunday,11,Part Three,WESTERN AVE
I172099670,724,Auto Theft,AUTO THEFT,Dorchester,462,N,2017-11-30 10:50:00,2017,11,Thursday,10,Part One,NOTTINGHAM ST
I182004936,3207,Property Found,PROPERTY - FOUND,Brighton,778,N,2018-01-19 12:34:00,2018,1,Friday,12,Part Three,WASHINGTON ST
I162058558,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Mattapan,416,Y,2016-07-22 21:45:00,2016,7,Friday,21,Part One,FULLER ST
I172044344,617,Larceny,LARCENY THEFT FROM BUILDING,Downtown,111,N,2017-06-04 18:24:00,2017,6,Sunday,18,Part One,TEMPLE PL
I162015647,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Dorchester,388,N,2016-02-27 20:12:00,2016,2,Saturday,20,Part Three,DORCHESTER AVE
I182017640,3114,Investigate Property,INVESTIGATE PROPERTY,Jamaica Plain,640,N,2018-03-08 06:19:00,2018,3,Thursday,6,Part Three,GREEN ST
I182004013,1402,Vandalism,VANDALISM,South Boston,215,N,2018-01-06 20:00:00,2018,1,Saturday,20,Part Two,W SIXTH ST
I162048479,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Dorchester,242,N,2016-06-18 18:24:00,2016,6,Saturday,18,Part Three,ANNAPOLIS ST
I182035894,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,South Boston,224,N,2018-05-11 17:30:00,2018,5,Friday,17,Part One,E SECOND ST
I182063486,3207,Property Found,PROPERTY - FOUND,Dorchester,351,N,2018-08-10 06:25:00,2018,8,Friday,6,Part Three,ADAMS ST
I162078614,724,Auto Theft,AUTO THEFT,Downtown,107,N,2016-09-25 20:02:00,2016,9,Sunday,20,Part One,DEVONSHIRE ST
I162003193,617,Larceny,LARCENY THEFT FROM BUILDING,South Boston,207,N,2016-01-07 16:30:00,2016,1,Thursday,16,Part One,DRY DOCK AVE
I172059363,2101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,Dorchester, ,N,2017-07-22 02:31:00,2017,7,Saturday,2,Part Two,Not Specified
I172051662,3114,Investigate Property,INVESTIGATE PROPERTY,Brighton, ,N,2017-06-27 00:00:00,2017,6,Tuesday,0,Part Three,BRAINTREE ST
I152062834,1402,Vandalism,VANDALISM,South Boston,256,N,2015-07-30 04:29:00,2015,7,Thursday,4,Part Two,MOUNT VERNON ST
I162053074,613,Larceny,LARCENY SHOPLIFTING,South End,130,N,2016-07-04 15:13:00,2016,7,Monday,15,Part One,HUNTINGTON AVE
I172035932,3115,Investigate Person,INVESTIGATE PERSON,Dorchester,450,N,2017-05-07 15:45:00,2017,5,Sunday,15,Part Three,WASHINGTON ST
I162092494,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,Roxbury,181,Y,2016-11-11 17:27:00,2016,11,Friday,17,Part One,WOODWARD AVE
I172095601,3114,Investigate Property,INVESTIGATE PROPERTY,Brighton,796,N,2017-11-16 03:43:00,2017,11,Thursday,3,Part Three,HARVARD AVE
I162106099,617,Larceny,LARCENY THEFT FROM BUILDING,South End,145,N,2016-10-31 12:00:00,2016,10,Monday,12,Part One,BLACKWOOD ST
I172035149,3301,Verbal Disputes,VERBAL DISPUTE,Roxbury,308,N,2017-05-04 21:08:00,2017,5,Thursday,21,Part Three,MUNROE ST
I152049806,3207,Property Found,PROPERTY - FOUND,Hyde Park,520,N,2015-06-16 08:15:00,2015,6,Tuesday,8,Part Three,HYDE PARK AVE
I162099534,3115,Investigate Person,INVESTIGATE PERSON,Dorchester,367,N,2016-12-06 17:29:00,2016,12,Tuesday,17,Part Three,HANCOCK ST
I162022515,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,Dorchester,347,N,2016-03-23 10:30:00,2016,3,Wednesday,10,Part Three,ADAMS ST
I182009003,3803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,Hyde Park,519,N,2018-02-03 13:27:00,2018,2,Saturday,13,Part Three,RIVER ST
I172080071,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,South End,170,N,2017-09-24 14:00:00,2017,9,Sunday,14,Part One,E SPRINGFIELD ST
I152082595,3502,Missing Person Located,MISSING PERSON - LOCATED,South End,273,N,2015-10-04 22:28:00,2015,10,Sunday,22,Part Three,MASSACHUSETTS AVE
I182065510,619,Larceny,LARCENY ALL OTHERS,Downtown,116,N,2018-08-16 00:00:00,2018,8,Thursday,0,Part One,KINGSTON ST
I152089583,413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,East Boston,28,N,2015-10-29 01:34:00,2015,10,Thursday,1,Part One,GOVE ST
I182055292,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Roxbury,603,N,2018-07-13 21:52:58,2018,7,Friday,21,Part Three,TREMONT ST
I162004134,1001,Counterfeiting,FORGERY / COUNTERFEITING,Roxbury,318,N,2016-01-15 17:53:00,2016,1,Friday,17,Part Two,ELM HILL AVE
I162096666,3501,Missing Person Reported,MISSING PERSON,Hyde Park,489,N,2016-11-26 18:49:00,2016,11,Saturday,18,Part Three,WOOD AVE
I172006292,613,Larceny,LARCENY SHOPLIFTING,South Boston,186,N,2017-01-21 13:30:00,2017,1,Saturday,13,Part One,ALLSTATE RD
I172081437,111,Homicide,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",Dorchester,359,Y,2017-09-29 19:51:00,2017,9,Friday,19,Part One,WASHINGTON ST
I182006388,3201,Property Lost,PROPERTY - LOST,South End,133,N,2018-01-24 15:00:00,2018,1,Wednesday,15,Part Three,NEWBURY ST
I182054405,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,South End,145,N,2018-07-10 22:11:00,2018,7,Tuesday,22,Part One,BLACKWOOD ST
I172012639,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South End, ,N,2017-02-16 09:34:15,2017,2,Thursday,9,Part Three,Not Specified
I152050853,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,Roxbury,311,N,2015-06-19 16:36:00,2015,6,Friday,16,Part Three,MAYWOOD ST
I172050342,617,Larceny,LARCENY THEFT FROM BUILDING,South End,131,N,2017-06-12 05:30:00,2017,6,Monday,5,Part One,MARLBOROUGH ST
I162097437,1841,Drug Violation,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,East Boston,27,N,2016-11-29 16:52:00,2016,11,Tuesday,16,Part Two,LIVERPOOL ST
I172069866,3201,Property Lost,PROPERTY - LOST,Brighton,791,N,2017-08-21 15:00:00,2017,8,Monday,15,Part Three,COMMONWEALTH AVE
I172000702,3114,Investigate Property,INVESTIGATE PROPERTY,Dorchester,257,N,2017-01-01 00:00:00,2017,1,Sunday,0,Part Three,SCHROEDER PLZ
I182002006,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,East Boston,16,N,2018-01-08 23:30:00,2018,1,Monday,23,Part Three,CHELSEA ST
I172072110,3125,Warrant Arrests,WARRANT ARREST,Downtown,76,N,2017-08-31 11:56:00,2017,8,Thursday,11,Part Three,ANTHONY RIP VALENTI WAY
I152069777,2101,Operating Under the Influence,OPERATING UNDER THE INFLUENCE ALCOHOL,Jamaica Plain,652,N,2015-08-23 00:59:00,2015,8,Sunday,0,Part Two,SOUTH ST
I152068265,724,Auto Theft,AUTO THEFT,Downtown, ,N,2015-08-18 01:17:00,2015,8,Tuesday,1,Part One,Not Specified
I162054175,3114,Investigate Property,INVESTIGATE PROPERTY,Roxbury, ,N,2016-07-07 23:27:00,2016,7,Thursday,23,Part Three,Not Specified
I182026011,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,South End,165,N,2018-04-07 22:06:00,2018,4,Saturday,22,Part Three,HARRISON AVE
I172069956,3201,Property Lost,PROPERTY - LOST,Hyde Park,489,N,2017-08-24 11:07:00,2017,8,Thursday,11,Part Three,BLAKE ST
I172099837,3007,Medical Assistance,SUDDEN DEATH,Jamaica Plain,570,N,2017-12-01 13:27:00,2017,12,Friday,13,Part Three,ROCKVALE CIR
I152059598,1402,Vandalism,VANDALISM,South End,167,N,2015-07-18 23:45:00,2015,7,Saturday,23,Part Two,HARRISON AVE
